Event, ele_E, ele_Px, ele_Py, ele_Pz,  pos_E, pos_Px, pos_Py, pos_Pz
2693, 44584.2, 14522.9, 39408, 14961.5, 58306, 26151.7, -52105.1, -858.484
2694, 60815.1, 30654.5, 16652, -49814.6, 39883, -38306.7, -10967.9, 1720.18
2695, 179404, -29120.4, 58544.1, 167064, 99367.4, -259.542, -33883.3, 93411.6
2696, 52843.2, 36990.4, 36175.7, 10744.3, 41415.6, -33774.2, -17923.3, 15915.8
2697, 54498.4, -15884.3, 40719, -32553.5, 72774.4, -740.772, -40245.2, -60629.2
2698, 58974.4, -29326.3, -5119.59, -50909.2, 42159.9, 23233.4, -22904.2, 26703.3
2699, 32109.2, -6613.94, -26473.1, 16924.3, 51762.7, 27841.9, 43623.7, 1086.16
2700, 138707, 56567.2, -7785.75, 126408, 87570.2, -16958.7, 43715.8, 73958.6
2701, 45544, -36217.4, -23045.7, 15213.5, 47479.1, 32529.5, 32739.3, 11146
2702, 211340, -1408.07, 38651.3, -207771, 142138, 18317.6, -47174.3, -132824
2703, 81845, 20132.6, -35486.4, 70950.6, 46125.5, -22952.9, 35928.3, 17603.5
2704, 47874.9, 29562.9, -34898.9, 14146, 139419, 64373.2, 18730.3, 122241
2705, 41387.5, 36137.8, 13368.3, -15108.6, 53077.1, -35324.7, -21853.8, 33041.8
2706, 50933.1, 30291.5, 26438.7, 31266.6, 42009, -31949.2, 973.489, -27259.2
2707, 101692, -42027, 742.627, -92598.7, 149948, 43872.9, 2537.15, -143364
2708, 159146, 95744.5, -1770.73, -127111, 37981, -14437.1, -25145.6, -24532.2
2709, 158922, -41234.7, -27321.8, 151028, 106074, 28314.6, 32053.8, 97069.6
2710, 71980.4, -12822.5, 33030.8, -62655.6, 127549, 7578.25, -40804.7, -120608
2711, 47872.8, 26764.2, -34880.6, 18942.8, 41571.5, -32138.2, 23443.3, -12072.1
2712, 53968.7, 27470.9, 40984.4, -21868.8, 86333.6, -19857.7, -16770.1, -82328.2
2713, 55195, -34153.5, -17045.7, -39868.2, 43166.9, 39410.5, 17600.7, 638.508
2714, 39527.1, -2022.89, 37375.8, 12702.4, 55715.9, 2292.8, -39747.7, -38975.9
2715, 48653.4, 43862, 21049.5, -447.281, 43158.5, -35448.7, -23539.1, 7208.03
2716, 56781.8, -14048, -43891.6, 33171.6, 50901.7, 11758.5, 44053, 22628.7
2717, 52537.9, 41720.1, 18657.9, -25914.2, 41550.4, -27920.7, -13377.8, 27711.1
2718, 72348.2, 13308.6, -23925.6, 66968, 63618.3, 59646.5, -18730.1, -11779.9
2719, 39528.1, -14117.1, 36606.9, 4807.52, 92303.6, 17860.8, -21282.9, 88022.6
2720, 49083.4, -11178.2, -45160, 15646.1, 55834.1, -15751.3, 49347.7, 20836.2
2721, 45550, 18276, -38381.5, -16360.2, 137153, -37408.6, -17212.2, -130826
2722, 76465.9, 5966.37, -40032.3, 64875.6, 200650, 13126.2, 39170.9, 196351
2723, 50402.9, 31242.7, -24724.1, 30871.7, 126157, 53264.1, 80553.2, 81177.7
2724, 57280.7, 9731.28, -36185.2, -43324.5, 157041, -16778.7, 38608.6, -151294
2725, 35775.2, 11252.5, -27466, -19971.7, 160601, -11954.4, 44417.1, -153873
2726, 30940.8, -3034.73, -26075.8, 16376, 163433, 11199.7, 30590.6, 160153
2727, 63897.7, -140.393, 39583.2, -50160.4, 37092.4, -9815.05, -28657.1, 21407.5
2728, 325271, -116617, 45847.5, 300166, 53424.3, -12600.3, -27296.8, 44161.8
2729, 32826.2, -29246.7, 9092.71, -11811.5, 66602, 31952.5, -29434, 50482.8
2730, 79815.2, -42951, -4816.64, -67100.5, 50052.7, 38942.7, 2847.87, -31315
2731, 66211.8, 39891, 15208.3, 50610.5, 38647, -25791, -28552.2, -3631.21
2732, 67446.9, -14596.9, 44693.6, -48358, 134942, -97609.9, 19245.9, -91166.2
2733, 70813.3, -23376.9, -39534.2, -53898.9, 39716.9, 29430.8, 25759.6, -6906.58
2734, 52611, 3216.6, -43630.2, -29222.9, 54319.4, -1568.89, 45747.5, -29245.5
2735, 141809, 36567, -24088.9, -134879, 33395.1, -31878.4, 3600.63, -9275.55
2736, 37008.8, -17003.6, -31367.6, 9828.73, 84601.5, 37691.3, 28098.3, 70336.8
2737, 158241, 52928.1, -9442.87, -148827, 91283.7, -35022.9, 10584.6, -83630.6
2738, 36482.5, 3586.73, 25819.8, -25523.4, 66646.7, 33940.5, -44895.8, 35695.7
2739, 53672.1, 19040.7, -24721.1, 43669.4, 102604, -70372, -71854.5, 20302.7
2740, 54104.1, 45657.4, -19811.7, 21216.7, 68778.5, -25838.8, 28747.2, 56889.8
2741, 50550.1, 49360.4, -10875, 773.399, 46557.1, -44224, 14343.2, -2465.47
2742, 27478.1, 12247, -24526.3, -1875.01, 114091, -37410.2, 15395, 106678
2743, 44650.5, 30365.5, 31204.7, -9893.05, 64560.3, -35219.8, -26046.2, 47425.7
2744, 30607.2, 16662.6, -23454, 10443.7, 73639.4, -27452.7, 12992.7, -67084.2
2745, 51828.5, 40650.6, 14243.6, -28824.5, 46417.2, -38159.6, -8705.17, 24952.4
2746, 42911.4, -9009.87, -37000.2, 19778.8, 44132.6, 7796.85, 32424.7, -28905.6
2747, 62019.8, 11172.2, 38335.2, -47455.8, 95873.6, -10057, -46779, -83080.3
2748, 386140, -69413.6, 16312.6, 379500, 172772, 144898, 40957.3, 84717.8
2749, 61052.1, 27014.9, -30660.4, -45359.7, 67473.3, -22950.8, 44404.4, -45322.9
2750, 119045, 30861.1, 28106.4, -111487, 39828.3, -21531.1, -27316.7, -19403.7
2751, 29331.8, 21495, 15743.5, -12266.3, 82322.7, -18318.5, -37938.2, 70725.9
2752, 96596.1, -35195.6, -9055.01, -89499, 175312, 49965.9, 23165.7, -166437
2753, 54275.2, -32846.7, -36338.6, -23375, 45247.4, 42997.4, 13568.3, -3801.87
2754, 113849, -7471.4, 45798.9, 103963, 174083, 4636.04, -38956.8, 169605
2755, 61268.7, 33125.7, -28438.3, -42986.1, 102394, -32277.9, 27361.4, -93241.4
2756, 134524, -71499.6, -25155.3, -111139, 84216, 21659.4, -48888.7, -65062.3
2757, 120872, 17913.4, 43493.4, -111344, 95698.5, -16429.5, -44675.7, -83020.3
2758, 64337.9, -55185.7, -15041.1, 29456.2, 61442.4, 36408.7, -8601.86, 48739.9
2759, 53450.9, 9827.98, 39263.5, -34911.1, 56774.1, -11535, -40977.3, -37564.7
2760, 41648.6, -1476.04, -39243.2, 13870.8, 54492.7, 14895.9, 39165.5, -34837.2
2761, 55048.9, 28125.6, 46195.9, -10260.2, 41650.6, -19572, -36575.3, 3735.59
2762, 118762, -1401.31, -44147, -110243, 162920, 45142.4, 40102.9, -151317
2763, 31988, -16689.3, -25471.9, -9791.94, 227152, 16150.7, -39788.2, -223056
2764, 63970.6, 47021, -35206.4, -25333.3, 32589.7, -25223.6, 14571.1, 14613.1
2765, 48137.3, 37934.1, -25715, 14728.9, 61222.3, -40279.1, 17913.4, 42483.7
2766, 47770.7, 44847.7, 16445, -533.26, 39140.2, -29289.8, -6444.19, 25150.2
2767, 58908.8, 22111.6, 47297.3, 27281.7, 59858.4, -21287.8, -25217.9, 49939.1
2768, 49444.4, 14919.7, 40398.1, 24293, 87683.2, -10736.4, -42236.6, 76086.4
2769, 39526.7, 35164.4, 11391.9, 14001.8, 58070.4, -34850.6, -20785.2, -41540.1
2770, 170064, 25649.6, -31784.3, -165086, 35600.8, -18077.7, 26279.9, -15810.8
2771, 43331.8, -43250.6, 2528.02, 801.295, 52003.6, 45773.4, 1068.14, 24658.2
